股票代码,涨跌链接字符串
sz000065,010101111100110101101010101110011100100101010000001100111001
sz000737,001100111100011100011010101010011100100100101101101010011101
sz000026,011100111110101100101010111010101010111101100100000010010121
sz002205,010101111110101111001011101011011000111111011101101100111111
sz002940,011100110110111110001011100001101100110111012101012001211102
sz000062,001100112100101000101111011011011100000101110100001010011102
sz001317,101101120100101100101010111010201011111000010000001000110102
sz002882,111001101111111000001110110100102102120001101200101111121111
sz001359,111000101110111010000110111001100000001000110101101010011111
sz001298,111000112100101110111110101010010010111101001101101010011111
sz002402,001000101010111100001110110000101000111101010100001110011111
sz002104,112101111101101100101010101010011000111210021101111110121111
sz002048,000000111000111010112111101000101000000101010101101010011101
sz001236,111000110100101100001110001010011000110101100101101000011100
sz002579,100000111000110110101110101010110000110111010000101020022011
sz002263,000100111100111000111011101010110101001101101101000100012110
sz002900,010002210100001010000011101012110211010121000120101000111002
sz002467,001000101100111000101110101010111100100102112010001000011102
sz000868,000000111100011110101111100000111100110100110101000000111111
sz002210,011100111001110011100010110010110000110101000000001101011001
sz300253,100001101000101010011110100100100000100101110100000000011112
sz300370,000001111100111000001110101010111000100100100101110101011111
sz002951,010010110111101110010110011001101000110111010120112020011111
sz300798,101001101000101000001010100010111000101001110211111000111101
sz002484,001000101100111010101110100000101000101101110001001011011001
sz002724,001101101100111010001011101010111000111001100100111010011111
sz300947,110101120000201101100011101011011100100101110101111000011101
sz300887,010101111100101010000110111000011000100101110101111111101001
sz300620,000001101010011010001110100000111000100101011000101010011101
sz301533,000102110100110110101011101000111000111111000010001000111111
sz301213,110100110100001010000011101010010000110111010100110010020111
sz300518,010101111110001000111111101010111111000101101001000011011111
sz301019,000001101110101111101011100000111000110101101110100000011001
sz300300,111101111000111101000110100001100101010111111102101100011011
sz301173,110101111011111010100110101010101101000100101101101000011101
sz300811,010001101000101110101110100100101000100110111001000010111001
sz300308,101000101100111110100110110010101100101100111100111011000011
sz301178,110010010011100111101110101110111110101011111111020110110101
sz002444,011000101000111010100110111000101001111100110111000010011101
sz300016,011101101100101101001110100011101001010112000111101200112001
sz300672,100000010000100010101010101110101000001011210001101111001101
sz002181,111100110110111010101110100010111000111101110111100000011011
sz301338,110101101010101110011110100000110011111101111001101010111011
sz300843,100001101000011110001110101000111000100101111101101011011101
sz300159,100101111100101110001111101011111011110001001100111111011111
sz300725,111001101000111111011110101000101101010101100110101000011101
sz002055,000101101000111010001110100000101000100201110100101111111101
sz301197,011101110110101010111110100001111000100101120111102001010021
sz002276,000100210000011010101111101010011000111101010100001000011111
sz000960,001000101110001000100010101010011101000101100101101100011111
sz300903,100001101000111011011110101000111000100100111101002020111011
sz301283,011001111110101111111011010101212000101001101110101000111001
sz000059,111000111100100111011011001001011001010110111000011101011111
sz301141,011102110101011010001010111011101000100101110222101100111101
sz301077,112121010100101110110011101000101000001101101100001010011001
sz300870,101000111100011010011110101000101000100100111000111010011101
sz300401,011101111011110110010111000110100010100101100001100010011101
sz300120,000101101010111010001110101000011100100101110101101010111011
sz300121,000101101010001111010110100000111002100101010100101011111101
sz000545,010100111100101000101111100010010101200210100101100000011001
sz300240,010202220101001100010010101120000010111101000120101100111101
sz300818,010001101000101010110110100000111000001101011101101010011101
sz300502,101000101010011110100010210100100010001110111010111111000111
sz300959,001000101011011101011001001110010001110001101011001111111001
sz300013,011110111111011010000110001020001000110101000010001100111111
sz300568,011001101010111010100111110000100100110101100110101110111010
sz003026,010100112100101100001110110010111000100101111001010100021001
sz301622,011101100100001010101110110010001000100101110112201000011101
sz300101,010101101000011010101111101000010010110111011200101110011111
sz300866,111010101000111010100100111000111111001100110111010110011101
sz301391,011001111100101010001110100000101000110100111101111010011011
sz300184,011101112101101100101110101010011000000100110101100110011101
sz300688,111101101100101100101010101010111000100101000001001010011111
sz300913,101001101000011010110110101000111010100001111100101011011011
sz002898,001010011110010101001110101011010000000010100101011110001001
sz002015,110100101100001000101010001000011100110200111100100010011111
sz000572,011000111100101101101110101000110101010101110101100000011011
