股票代码,股票名称,涨跌字符串
sh603223,恒通股份,010100111111101110001111100101001110101101100100000110101111
sh688377,迪威尔,110001111010101000111111000100101100011101101001011110010011
sh603155,新亚强,010100111110101110001011101001101001110101100110001000110111
sh603090,宏盛股份,011001101111101100010000000000101010000111110100101000011001
sh603269,海鸥股份,110000110000101011101110100000111011110100111001101000011101
sh600531,豫光金铅,000000110100001100111010001010001110101101101101100100011111
sh688281,华秦科技,110101111000111100010111101000011110101101101101011010111101
sh600711,ST盛屯,011100101110111001001011110000111100100101111101101100011101
sh605008,长鸿高科,100100111110101001100110110000100001001010000001100010111011
sh688135,利扬芯片,000001111000101000011110101110111000000101110100001110111101
sh600980,北矿科技,011001101110101110001011101011111001101001101100001000010101
sh603767,中马传动,001000111101001010101110101010111000011101110100101000111111
sh688409,富创精密,100001111010001000100110101010111000110111001000101011111101
sh600421,*ST华嵘,001000111111010100000011011110011110101110100110001000001011
sh600301,华锡有色,001000111100001010011010101000001001000101100111000100011101
sh688333,铂力特,001001101000111010110110001000101100001100110011011000011101
sh688360,德马科技,001001111110111010111111101101100011100101100001101001011101
sh600262,北方股份,011100101110111111101111000000011010100100100110000100011101
sh601058,赛轮轮胎,010010100000010010101010101000100110001100100001100010101101
sh688535,华海诚科,101100101000001100101110100010110001000101010110001011011101
sh688046,药康生物,011000101100101000111010110000011100100111100101100000111011
sh688313,仕佳光子,101101101000110011111010110010100000101011111010111110110001
sh600469,风神股份,010100111100101110101011101001110000010100001101101000011101
sh600391,航发科技,010110111100101101001111101000101000100110110000100100011111
sh603121,XD华培动,111100111110100011111111001100101101110010011100000011111001
sh603048,浙江黎明,101000111100111110001110101100101000111001110001101010011001
sh688719,爱科赛博,010001101110101110100110101010111101101000111111111000101101
sh605178,时空科技,011100111000001010001111100001011101111100100000001111011011
sh688296,和达科技,011000110111100010001110100000111000110101111000101010011101
sh603380,易德龙,011000111000101111101111101100101000110101110100101010111101
sh601212,白银有色,110100111100001100001010001010111100100101101001101100011111
sh605268,王力安防,011100110110101110101111111011110101010001101111101111010111
sh600156,华升股份,101110011101010011111010110010111101001101101111111101110011
sh688513,苑东生物,111100111100111100000100101001101110011110000110110000010111
sh688236,春立医疗,011001111000101110100111001100011100111001000110001000101101
sh688195,腾景科技,110000111000101100111110100000110000100100110000111010010001
sh688393,安必平,111000101010001010001110100100101001100101010100101000011111
sh603559,*ST通脉,000100111100101100100010001000101001111010101100001100010001
sh688282,理工导航,111100110110011010000101101000010010011100110000011001011101
sh603042,华脉科技,010100111100111011100110110010111000100101111100101011111001
sh688533,上声电子,011001111010111110101010101000001000000101111101001110010101
sh600200,*ST苏吴,001010011010010111000000011000110110101100100110001001011011
sh688776,国光电气,110000111100111010101110101100000111110000010101101000011001
sh603703,盛洋科技,010000101100111100101111101000010000110100111000001010011101
sh603520,司太立,011101111110101110001100101001101111001111000100100000011101
sh603983,丸美生物,111101010110101001001111011101111101001001101110100000111001
sh603499,翔港科技,010101101101001011101110000000111001100101111101100000111011
sh603879,永悦科技,010100011011010011110110000001000100110110001110010011010111
sh688048,长光华芯,110101101101001000011110010000100000101001111000101010011101
sh688661,和林微纳,100000101000111010101110101010100000100101111101101110111101
sh688605,先锋精科,110100101000001100100110101000101000100101110100101111011001
sh603003,退市龙宇,011110111110010100001100110000011110110000000011011011010101
sh605028,世茂能源,111100111110101111110010110010101100100101101010111101011011
sh600603,ST广物,001000011100101110010100101000011100000001111101011100011001
sh605286,同力日升,011000101100111010100010101100000000000100111001001100011111
sh603214,爱婴室,100101110111101001001010101011111001010111100010001100011111
sh603729,龙韵股份,011100111110111100001110100001111000100101101100101000011011
sh688545,兴福电子,111101101000101100101110001010011100101111110001001010011011
sh601958,金钼股份,010001111100011100100010110010100110101111101001100100001111
sh600605,汇通能源,000001111100100001111000110010100111011101100100001100011101
sh688531,日联科技,111001111100101101101011101000110101100100111101010010111011
sh600113,浙江东日,011001111110101100100000010011010000101000000101101111111011
sh603373,安邦护卫,010101111010101011001010111000111100011101110110101101110111
sh601156,东航物流,011001111010001110101110101010100000111100111001100100011101
sh603072,天和磁材,011101110101001010010111101011101001100101100111101000111001
sh600579,中化装备,010001111110111110101111101000111010110101101101001100011011
sh688323,瑞华泰,000001101000101010101110101001001000100101110100000000011110
sh603668,天马科技,110101100101001101111011111001010100010101100001101110111011
sh600557,康缘药业,010000111110100100001011101000101001010111110111100000010001
sh603707,健友股份,010000001000011110000010101001101001000101100100101000011001
sh600390,五矿资本,001101110100111100100010101010010100110101110101101100011101
sh688100,威胜信息,111001101010101000100000101000011000001100110101001011011101
sh605123,派克新材,010101101000101100101111101000011000111111111011001110011111
sh603778,国晟科技,010100111100101100001111100001011000110101101100001000001011
sh603002,宏昌电子,000100111000110100101110101010111000110101110101101111111001
sh600287,ST舜天,010000111110001101101000110001111100010111011101011100110111
sh601002,晋亿实业,000000111100011110101110101000110010101101001100001000011101
sh688036,传音控股,001111100001100001101010100000100000101101110110101010011101
sh603151,邦基科技,100010011110111111010111100111100010111110100001111000101001
sh601011,宝泰隆,010101101100011110000110101010010100100101101111001010011101
sh605050,福然德,001100111011111111001111101110111100101110001001000001011001
sh688183,生益电子,001001111000011010100110100010101000101111111110110010001001
sh688618,三旺通信,011101101000111010101110101000101000100101110110101010011111
sh600353,旭光电子,110100101100101010111110101010110011111100000111110000011101
sh688131,皓元医药,011001101000101011010001100010001101000111100010101010011101
sh600530,交大昂立,011101111110101001100110110111011001110001000111100000010001
sh601702,华峰铝业,100000010100110110110110001000100100000100001001001100001111
sh688525,佰维存储,100000101000001010101110001000101000101001111101001110011101
sh605167,利柏特,110100111100101010101010100010111111101100001101111000011101
sh603256,宏和科技,011100111010111010111010100010111001111111100100001111101111
sh603986,兆易创新,001100101000101010111110000000111000100001111000101011011101
sh603757,大元泵业,101001111110101110111111100011111000101101001000001000111101
sh688080,映翰通,101001111000111110111110101000101001001101101000100010011101
sh688655,迅捷兴,000000100000001010111101111111001001011101111101000010011011
sh600846,同济科技,011100101101100100111110010000010010111101101111111000011101
sh603505,金石资源,011001101001101110101110000110100100010001101101100000001101
sh600740,山西焦化,010101101100101101001011001010010100111100100101010100011101
sh603277,银都股份,100000111000101001111111101100101100111001010111001110001101
sh600126,杭钢股份,100101110100101010010110101010101000100101110100001001011111
sh601218,吉鑫科技,010100111110111111100111010000110000111101011101001100011001
sh603280,南方路机,011000111110101110101110001010110000111000011000101010011001
sh603716,塞力医疗,111001111010111010101111100100101101111111001010101100011111
sh688669,聚石化学,011000111100111010011110011110101101100001110001001000011001
sh601388,怡球资源,010100110100111100001011101010010100000101101001000000011101
sh688755,汉邦科技,001011000101000101001010011101
sh600869,远东股份,000000100100111111100110101000110000100101100100001010011100
sh603338,浙江鼎力,111000101000101011100110111000101100111100111101001000111101
sh605289,罗曼股份,010100111100011110101110101101101001010001011101101110011011
sh600096,云天化,000001100100101111110101010011110100000010110000110100001001
sh688629,华丰科技,101101101110001011100110001000110000100101111000001011011111
sh600403,大有能源,101001111100001000101111100011011100100101101001011010011101
sh601279,英利汽车,001100111110011110101110101100101000110100011101000000111111
sh600760,中航沈飞,010101111000111000101111101000101111100111010101110100001101
sh603129,春风动力,111000101010111010101110001010111001001100110111010110100011
sh601020,华钰矿业,000000110100001010110011101110001001101101101111001010011101
sh600816,建元信托,001101100100011100101010001010010000100111110101001100011101
sh688300,联瑞新材,111001111010101110110110101010010100101101111001001110011001
sh600927,永安期货,011101110100111100000010101010010000110101110100101000011101
sh600490,鹏欣资源,000001110110011010001000011101001101100101101101100000011101
sh600894,广日股份,100001100010111100100001101000101100010110101001100100011101
sh688636,智明达,011101111100001110111111101000000100100111111001011100011111
sh688084,晶品特装,010001111001001110011110101000101010010111111100010011011111
sh600599,*ST熊猫,001110011111001110010000101011011110101100101100001000111101
sh600773,西藏城投,001101111000111100001010101010011001010101101101101010101111
sh688293,奥浦迈,011001111100101100001010010101110001111111000100101000111101
sh603051,鹿山新材,010000111010101110011110110010101100100100110100101000111010
sh601869,长飞光纤,111100111000011011110010100010100000100101110000101011110111
sh603116,红蜻蜓,011100111110111100101111100010100000111101101101001100011101
sh600787,中储股份,011101111100101100100010001010001000110110000101001100111101
sh688291,金橙子,111001101010101011101111101000110000100101011000111111000001
sh600496,精工钢构,011100100000110100010010100010011000001100101001000100111101
sh688519,南亚新材,101000101100101000111101010000111010000010110110100010111111
sh600128,XD苏豪弘,110101111110101100101010101110011000110101110101101000011111
sh601311,骆驼股份,000000101000111011101110101000111000100101100101001100111101
sh603310,巍华新材,011100111011110100001111101010111000011101011100101010011001
sh603100,川仪股份,010101111010111001000111000001101000010100110100001100011101
sh600725,云维股份,010101111100110100101111100010111000010100111100001000011101
sh600183,生益科技,010000101000111010110110101011100110101100110001101010010101
sh600753,*ST海钦,001100011100011010100011101100011100101011101001101010001001
sh688260,昀冢科技,010001111010101010001110101000111000100101011100001110011001
sh688582,芯动联科,101000111000001010010010001000011000011101110101000010011101
sh600212,绿能慧充,110001100100111010100011101000011000100110010110000010111011
sh688670,金迪克,011100111100111111010110101001111000010101100100100000011001
sh688265,南模生物,110001111010101010001110100000101000010110100110111100010111
sh601600,中国铝业,010000111000111000100010101010001100001101001111001100111011
sh688286,敏芯股份,101000111000101010011110100010111000100101010001001110011101
sh605228,神通科技,010000111100011011001111001000101100110100100101101000011100
sh603257,中国瑞林,1000110001000000011111010110100110101101101110000011001
sh600851,海欣股份,010101111100101101011111101010111001010111001110101000011101
sh603882,金域医学,101101101000101010011110100110000000100101111100100100011101
sh600665,天地源,010101111100110101101110111101011000110101101101101100011101
sh603061,金海通,110000101111101010001010000000010001000101100001110111010101
sh600378,昊华科技,011001101000100101111010011010000100100101011101010001101011
sh688689,银河微电,111000111000101110101110001000001000100101111101101110011101
sh688085,三友医疗,011000101010101111000110111101101001101101000100001000011001
sh603967,中创物流,011101110101101100001010000110010000111101001110101000111101
sh600336,澳柯玛,011100111000101100101110100000111000110101110100001100011001
sh600566,济川药业,110001110000101101011011100101111100001111001111001000011111
sh600121,郑州煤电,110101101100101100100010100111110100100101101101011000011011
sh688190,云路股份,101000111000011110001110101000001000000100110101011000111011
sh600651,飞乐音响,011000101100111100001110101001111000100101001100001110011110
sh600366,宁波韵升,001101101000101010101010011010101000100101110111101100011101
sh603798,康普顿,010100110100101111001111101000111101111010111000000000011011
sh600312,平高电气,001111100100111011001010101010111000000001001001001010001101
sh600123,兰花科创,010101101100100000000010000010010100001101100101001100111001
sh600137,浪莎股份,011100110110101100001111110011110000001001100101001000011011
sh688502,茂莱光学,011100111100100100100010000010011000100101110101101011111101
sh603379,三美股份,101011100110010111101011010011001101001101101001011000001101
sh603115,海星股份,111000111110101110101110101011111100100101001101100000011001
sh603109,神驰机电,111100111100101010010110101100111100011000010000101110001011
sh688700,东威科技,000001101010000010011110100010011011000110111101001010011101
sh603811,诚意药业,011100111010101101001100100001101001010101101110100000111001
sh603075,热威股份,100000111110101110001101011001101000010000010101101001011101
sh688203,海正生材,010101100010101101001011100000111001010101101101111001010011
sh688025,杰普特,001000101010101010101110101000111000100101011111111010011111
sh688449,联芸科技,111001101000101010101110101000011000100101111101001110010101
sh603029,天鹅股份,010101010100001100101111101010111000110001111010001000111101
sh600581,八一钢铁,010101110100101010110011110010010000110100101101001100011101
sh603978,深圳新星,000101100100011100111110101001101000100001001101101000011111
sh600193,*ST创兴,000110111101010000000110000000010101111010000111001001011101
sh603285,键邦股份,010100111111101110110011100011101001001101101100100000011001
sh688035,德邦科技,110100111010101101100110100010111010000111111101001011111101
sh603210,泰鸿万立,100000001100101110111000101100000101100101101100111000
sh600584,长电科技,001000101000111010101110101010100000100101110100001010011101
sh603271,永杰新材,110100111111110110101111101000001001100101110101101010011101
sh601061,中信金属,010100111101011100001010001010000101001001101001110000001101
sh603298,杭叉集团,011000111010111011100010111000101110010110100111100010101001
sh688110,东芯股份,100001111011101000011010111000101011100100111100001010111101
sh600638,新黄浦,010100110100111101001010100010010000110111100101101100011101
sh603648,畅联股份,011100100110110100100010101011001000110101001111011000011101
sh603535,嘉诚国际,100100101101101100000010111010001000111001100001100010110111
sh603992,松霖科技,001000111000111100101010101001000100111001111001000110001001
sh603937,丽岛新材,011100110110101110101010100111111000111101101010001010011001
sh603235,天新药业,010101110110011111000011100011101001111111101001111000111101
sh603878,武进不锈,010100100100111100101011100000011000110100100101000000111101
sh605208,永茂泰,101100111010001011101111101111100111000101110001001010011001
sh688329,艾隆科技,011101110010111000001110101000111000010101100101100000011101
sh688610,埃科光电,011101111110101110001110100001101000100101111101001100011001
sh688167,炬光科技,110101101100101000111110100100101001111101111100001010110001
sh600815,厦工股份,010101111100010110101111101000111010111101001101001000011101
sh603630,XD拉芳家,111101110111001001101100010111011110110001100111101100000011
sh688082,盛美上海,111100101001001100101010001010010000110101011001011110111101
sh688098,申联生物,010101101010101000001111111011111000010111101100100010011101
sh603991,至正股份,010000101100101001100010101010110101100100111001011011001001
sh600219,南山铝业,010000110100011000010110011010010100101011101001011110101011
sh600400,红豆股份,000100110110100000101110100010110000110101100101001100111101
sh600329,达仁堂,010101111010101100001010100010111001011111001110000000011101
sh600006,东风股份,011001101100101110101111101010111010001100000101101100011101
sh688202,美迪西,011101111100101110001110101000111001010111100110101000011101
sh688691,灿芯股份,100101101000101110101100001010010000100101010100001110011111
sh603045,福达合金,011100111010111110001010111000001010000101111010001000011001
sh603836,海程邦达,010101101111001100101010101010000000110101110101001100111001
sh603709,中源家居,111111000000001110011111101001011000110101101001101000111001
sh603344,星德胜,001000111010101110001110110100101101010001111001001110011101
sh600592,龙溪股份,011100111100101010011111100010100001011001010001001000011001
sh605066,天正电气,011000101110111110101110100000101000101100111100101100011001
sh688721,龙图光罩,011001101000101010000010101000010000010101010100101110111101
sh600854,春兰股份,011100111110111101101011110011011000110101111100101000011100
sh603912,佳力图,100100101010111110001010100100110000110101110100101000011101
sh688523,航天环宇,011001101000101100101111101000010000101101110000000110011111
sh688583,思看科技,101000101110111010110110001000101000100101100101101010011101
sh688503,聚和材料,001001111000011100000110101100101001000101011100101001011001
sh605056,咸亨国际,111000111010111111001111101000101010001101010101111100011101
sh600288,大恒科技,110100101010111110101111101000111000100101111101101110111111
sh600609,金杯汽车,001000110100011000101111001010101000110100010101101000011101
sh600671,天目药业,010010011101111101100011011010110000100111101000000000011011
sh600679,上海凤凰,100101111100101111000010101001011100111001100101101000011101
sh601137,博威合金,001000101000110010101110101000111000101100111001101010111101
sh603860,中公高科,011101111110111110001110101000011000100101111100101000111001
sh688701,卓锦股份,110101110110111111001110000001111000100101001001000100011001
sh600268,国电南自,011100101110111011011110100000111110101000010001101110011101
sh600439,瑞贝卡,001100111110001100001111101010001010101001100111001000011110
sh603612,索通发展,011000111100111100111110001000101100000101111111111100011101
sh600099,林海股份,011000111110111111001110100001111010110100101101101000111001
sh603936,博敏电子,010100111000111010011110101000111000100101111100101110111011
sh603108,润达医疗,111100101100101000011110101100101101010101110101101000011111
sh600626,申达股份,011100111100110100100010101011011000110101101101001000011101
sh603118,共进股份,001000111000111010101110101000111000101101110000101110011111
sh605259,绿田机械,001000111100111110101010100001111011011110101101001000011101
sh688779,五矿新能,011001101010111010001110101000111100100101101101110100111100
sh603507,振江股份,011000111110101010111111100000111000000101010101001100011001
sh603160,汇顶科技,110101101000111100111110110000101000100101110100001110011101
sh688368,晶丰明源,111000111001111000011010001000111010001100010101101011011101
sh605580,恒盛能源,000000111110111011100010011010101100110001110101000011011111
sh603678,火炬电子,111100111100001101111001001000000110100110010001110010111101
sh603101,汇嘉时代,111101111000111100001011100001111000101111111001000100011101
sh600668,尖峰集团,010101100011011101101011100110111100001101100101001000011111
sh688114,华大智造,011010101001111100011110100100000101000001010001010000011101
sh601886,江河集团,001100110110111111000010010010010100010110011001000000111101
sh601699,潞安环能,011101100100100001001011001110000110000100101101010100011001
sh600546,山煤国际,011101000100100001010011001010001100001111000100011100011101
sh688369,致远互联,110000101010101000101110101010101010100100011100001010001101
sh688676,金盘科技,011000101000111010101110101010001000100101111101001000011101
sh600841,动力新科,100100101100001110001110101010111001111100010100101110111111
sh600538,国发股份,010001111100101011010111100001100001010111001101000000111001
sh688539,高华科技,011001111000101010000111101000011000001110111100001100011111
sh600936,广西广电,001101111101100000101110110010110100011100010101001000011101
sh600135,乐凯胶片,001100101110100110001011101101011000110101101100001100111111
sh688617,惠泰医疗,011101010010101101000001010101001100010000011011010100110111
sh688002,睿创微纳,101010111000001011101101101010101010110011110100011011001101
sh603023,威帝股份,011010111110011010010011011001000010001111101000001000111101
sh600847,万里股份,010100101110101010001111100001111000100101101101001000011101
sh688261,东微半导,011001111000101100011010101000111010100101110101001110011101
sh688399,硕世生物,011001111110001100000101101110011000001101111100000100110111
sh603515,欧普照明,010001111010111100101111110101111000110001010000001110101001
sh688603,天承科技,110101101111100000000010100000011000000111101001100011010001
sh603717,天域生物,011101110100011000101011101001011000110111101101001000011101
sh603639,海利尔,010101110110100101101110110100111000010001011100101100011001
sh600303,曙光股份,001110011000001111001010101000110100010101101101010000010001
sh688680,海优新材,011101111100101010001110111100110100100000011101001110011101
sh688378,奥来德,011000100000111100001110100000111001001101100101001100111011
sh688599,天合光能,000001101000001000000110101010110000100101101101001110011101
sh688392,骄成超声,100000101100101110110100101010010101000101110100001011010111
sh600550,保变电气,110100101100001000100110101010111000110001000100101100011101
sh603112,华翔股份,100010111011111010101010101011101001001101110101101110011111
sh600148,长春一东,011100111100111110001111101001111010010001000111001100011101
sh603052,可川科技,010000111100111010100111111010100000001101010101101010011111
sh688138,清溢光电,110000101101101100011111000000101000100101110001101011011001
sh688251,井松智能,001001111110111010101111111001111001101101000101101010011001
sh603456,九洲药业,010100101110111111011010100010101101010111000110100000011001
sh603329,上海雅仕,111101110101101110100010100110011100101101000100101000011101
sh600497,驰宏锌锗,000001101100011110000010101010011100101101101001000100011111
sh600971,恒源煤电,011101000100000000000010001010010100001101101101001100011101
sh688720,艾森股份,110100111010101100101111000010110101101100010100001110111001
sh688512,慧智微-U,010001111000101001101110101000100010101101111101001110111101
sh605389,长龄液压,011100111100011010111100101100101110011001111001010111101111
sh600255,鑫科材料,001101111100011010101110101010111000100101110001101000011011
sh600735,新华锦,111100111110001100001110111111110110011001111101000110011101
sh603351,威尔药业,000000010010111101010010000110100101011101100100100010011101
sh688331,荣昌生物,111110110110001101110100001110101011010111001110100010111101
sh603556,海兴电力,111001010110101010001010111000111000011100110101000010011101
sh600888,新疆众和,010101111011111000100011100010010100101100101001001100111101
sh688157,松井股份,010001111000101010100011000000001001001101011100001100011001
sh605258,协和电子,110000101100101110101110101000111010100100111001101010011011
sh601567,三星医疗,001000010110001001010001100100100010000101110111010010101101
sh601138,工业富联,111000111010111110101010101010101010001100110001111010000101
sh600983,XD惠而浦,011000111110101110001010100000110000101000111001011100011101
sh688500,慧辰股份,111101101000111011101110100101111000100111001011011011110011
sh603813,*ST原尚,100101111110000000100100010000011011010011110110101000010001
sh603815,交建股份,011101111000101101001111110110110000000100001101001000011001
sh600066,宇通客车,001000111101011110010111010100001111001101011001110010110101
sh603916,苏博特,011100101110101111101110011111010000110111011100001000011011
sh688102,斯瑞新材,010011110100101010010010100001001001101111110100001010011001
sh603183,建研院,010101111100111100101110100001011000110101001000001000011001
sh688662,富信科技,101101111010101010011110100000111000100101110101101010001101
sh600782,新钢股份,011100010100101010110000000100010000000110001001000000111101
sh600509,XD天富能,110101111110101011111100111000001000110100000101001100111101
sh600853,龙建股份,010101111101110100110000100111001000100101101101001000111101
sh600989,宝丰能源,011001010001011110111000011111111101010101011000110011000001
sh688416,恒烁股份,100001111100101110001110101000011000111101101100001110111101
sh603903,中持股份,010101110110111100001111110011111001111101101001101000011011
sh600493,凤竹纺织,011100111110111100101010100001000101000001101100001000110111
sh600523,贵航股份,010000100100111100001111101010100011110101000100010110111111
sh688181,八亿时空,010101111000111010111111110000111000110100110101001011011101
sh600981,汇鸿集团,100100111110101100100011100010011000110101101101101100011101
sh600419,XD天润乳,011101110110000101001000100001111000111001100100100100111001
sh688668,鼎通科技,101101101100101100111110100000011000111100111110101011000001
sh688019,安集科技,100010111000111000001110100010100001000101011101010011111101
sh603225,新凤鸣,111000010100111111010001101010000100000000111000000010111101
sh688163,赛伦生物,010101111110101101001110100001111001010101001000000010010001
sh688630,芯碁微装,010001111110011111010010001010111000010111110000000011011001
sh600979,广安爱众,110101110110101001100110100110111100100101100010011000111001
sh688371,菲沃泰,011101101010111110001110100000001000111101100001001010011101
sh603843,*ST正平,000110111111010100000000100000011111110011110111000101011101
sh603808,歌力思,010100111110100100101011100101111100011101101101101000011001
sh688693,锴威特,010101111000100100001110101000101100100101111101101110011101
sh600326,西藏天路,000101111110010111000011101010110100110111101100101101111100
sh603828,ST柯利达,101000111000110011100000111010000011010000111010111100010001
sh688175,高凌信息,011001111010111010111111101000101100100101100001111110111111
sh688484,南芯科技,001001101001110000001010100000110010110100110101001111110111
sh600259,广晟有色,011101110111001010111110101011111001001001110001011000011101
sh603178,圣龙股份,001100101000101110000110101000100111110101100101101000011001
sh688092,爱科科技,111000101100101110101111101000111000110101111101001010011001
sh603922,金鸿顺,111000100011010010101100000010110000101110001001101100111101
sh688565,力源科技,110101110010100011110110100001111000111101001100000000111111
sh600257,大湖股份,110101110100100001010111100011011000111111100101001000111001
sh600997,开滦股份,110101101101001101101100100110100100001100100101001000011101
sh600545,卓郎智能,000101111100101000101110101000110000110101000101001000011001
