股票代码,涨跌链接字符串
sh688022,101001101100101011001111100000101000110101011100001010011111
sh600684,010100110100101111000010000010010000011111100110100000011101
sh600543,010101110111110000001111110001011000110120100101101200010001
sh688498,111101111000100100101111111001111000101000111101101020110001
sh603683,111100101010101111111110111010111000111000011111001010011001
sh603979,011000110100011010110000001000101101101000111101100000111111
sh600601,010100101000111010101110101000111000100101120101101010011111
sh600589,200100101000112110011111101110101010100100120100101010011111
sh605060,011000110010011010100110200100111100001101110101101100011111
sh688758,110101111100101100001110100100001000000101000100101000111101
sh603530,101000101000011011111010100110111011110101000001011010011101
sh600362,010000111100011100010010101010000100101101101001100000011111
sh688521,101100101110100000011100101001001100101110011001001110000101
sh601609,010000101011111100001000001000100000101100101111101000011111
sh600208,001101111000111000101010001010010001000101000101101000111101
sh600361,101100101000111110101110101010110000100101101001000000111101
sh603686,200000111000111010101110101000120000110110001101100000010111
sh688077,011101100110001010001020101010001000100101110102201000010101
sh600731,011101111110101110110110001010110000010011011100101010011101
sh688159,101001111000101111011111101100111010100001111000101111011111
sh600478,011100101100101010101110100000111100110100101101001110011011
sh600387,011000010000001011110010011000000000101010000000011000110001
sh603786,001001111110011010000100101000010110000101100100100010101101
sh688560,011101111000101010101110101000110000010100111100001101111101
sh603928,010100111010201101001111100000101001100101111000111002110001
sh688220,100100101100101010110100001000101000101001110101001011011101
sh688372,100100101000111000110100000000110000100111111001001111011101
sh603722,010000111010101011101110100001110111100101101101100111111001
sh603725,011101111111001100001010100000112012100101100102101000111001
sh603993,000000111100011100000001001110101100101100101001110000111111
sh603557,000100011111110101110000011001100000011101110111001000011111
sh603861,110100101110101110101010101000111000110100111101001010011101
sh603113,010100111100101111011110011101010110010100101100000100011001
sh603959,100100111100101001100010000110001100010110001011010110001101
sh688191,000001211100001110101011101100100001010111101101101010011001
sh603398,010000011110000100000000000001011110010100100110001111011101
sh600289,200000011001010100110101000101100010000011110001001110111101
sh603838,001110111011011000000111100011100100111001101110001000001010
sh603933,011000112000201100111110100000001000100100111101101111111001
sh600234,101000001111001011111001110000000100010111100001001000011001
sh600338,010101111000111100100111001010110100100101101001110100110101
sh603063,111000111000111010000110001000011100100001110000101011010101
sh688362,110100201000101110100010100010011100100101111001001010011101
sh688579,101001100000111010001110100000011000110101000100111010011111
sh600810,100001101110011111001110101111110010010101000101001110011111
sh603181,001000111010101011000110101100110000010101100100000001011101
sh601168,000000111000111000111010111110100101000101101101101100001111
sh600250,110100111110201000100110000011011000110101011112100000010011
sh688143,111100201000101010111111111000001000100111110101111110011101
sh600446,001001101000011000001110101010110000000200110101101100011111
sh603086,101001101010111001002011110100100012000101110101101000001001
sh688205,100001111000011010101210100000100110101100210110111111001001
sh688073,111000101000001110001110101100110001000101110111101010111101
sh603123,001101111101101100001110111010011100110200120001001120011211
sh600732,001100100100101100110110101110111011010100100101001110011001
sh605567,011101110111111101001011110011011000111101101010001000011011
sh688800,001001111000111011110110101000101110001000121000101011000011
sh688510,110001201000111001001111101000101001111101110101100110111101
sh603818,001100110100101100101111101100111110111101001010211100111011
sh688222,110001110100101010011110100100101111010201100100101000011101
sh601899,100011110110001000010010001110001111101000101011100100011111
sh603223,010100111111101110001111100101001110101101100100000110101111
sh688377,110001111010101000111111000100101100011101101001011110010011
sh603155,010100111110101110001011101001101001110101100110001000110111
sh603090,011001101111101100010000000000101010000111110100101000011001
sh603269,110000110000101011101110100000111011110100111001101000011101
sh600531,000000110100001100111010001010001110101101101101100100011111
sh688281,110101111000111100010111101000011110101101101101011010111101
sh600711,011100101110111001001011110000111100100101111101101100011101
sh605008,100100111110101001100110110000100001001010000001100010111011
sh688135,000001111000101000011110101110111000000101110100001110111101
sh600980,011001101110101110001011101011111001101001101100001000010101
sh603767,001000211101001010101110101010111000021101110100101000111111
sh688409,100001111010001000100110101010111000110111001000101011111101
sh600421,001000111112010100000011011110011110101110100110001000001011
sh600301,001000111100001010011010101000001001000101100111000100011101
sh688333,001001101000111010110110001000101100001100110011011000011101
sh688360,001001111110111010112111101101100011100101100001101001011101
sh600262,011100101110111111101111000000011010100100100110000100011101
sh601058,010010100000010010101010101000100110001100100001100010101101
sh688535,101100201000001100101110100010110001000101010110001011011101
sh688046,011000101100101000111010110000011100100111100101100000111011
sh688313,101101101000110011211010110010100000101011122010111110110001
sh600469,010100111100101110101011101001110000010100001101101000011101
sh600391,010110211100201101001111101000101000100210110000100100011211
sh603121,111100111110100011111111001100101101110010011100000011111001
sh603048,101000111100111110001110101100101000111001110001101010011001
sh688719,010001101110101110100120101010111101101000112111121000101101
sh605178,011100111000001010001111100001011101111100100000001111011011
sh688296,011000110111100010001110100000111000110101111000101010011101
sh603380,011000111000101111101111101100101000110101110100101010111101
sh601212,110100111100001100001010001010111100100101101001101100011111
sh605268,011100110110101110101111111011110101010001101111101112010111
sh600156,101110021101010011111010110010111101001101101111111101110021
sh688513,111100111100111100000100101001101110011210000110110000010111
sh688236,011001111000101110100111001100011100111001000110001000101101
sh688195,110000111000101100111110100000110000100100110000111010010001
sh688393,111000101010001010001110100100101001100101010100101000011111
sh603559,000100111100101100100010001000101001111010101100001100010001
sh688282,111100110110011010000101102000010010011100110000011001011201
sh603042,010100111100121011100110110010111000100101211200101011111001
sh688533,011001111010111110101010101000001000000101111101001110010101
sh600200,001010011010010111000000011000110110101100100110001001011011
sh688776,120000111100111010101110101100000111110000010201101000011001
sh603703,010000101100111100101111101000010000110100111000001010011101
sh603520,011101111110101110001100101001101111001111000100100000011101
sh603983,111101010110101001002111011101111101001001101110100000111001
sh603499,010101101101001011101110000000111001100101111101100000111011
sh603879,010100011011010011110110000001000100110110002120010011010111
sh688048,110101202101001000011110010000100000101001111000101010011101
sh688661,100000101000111010101110101010100000100101111101101110111101
sh688605,110100101000001100100110101000101000100101110100101111011001
sh603003,011110111110010100001100110000011110110000000011011011010101
sh605028,111100111110101111110010110010101100100101101010111101011011
sh600603,001000011100101110010100101000011100000001111101011100011001
sh605286,011000101100111010100010101100000000000100111001001100011111
sh603214,100102120111101001001010101011111001010111100010001100011111
sh603729,011100111110111100001110100001111000100101101100101000011011
sh688545,111101101000101100101110001010011100101111110001001010011011
sh601958,010001111100011100100010110010100110101111101001100100001111
sh600605,000001111100100001111000110010100111011101100100001100011101
sh688531,111001111100101101101011101000110101100100111101010010111011
sh600113,011001111110101100100000010011010000101000000101101221222021
sh603373,010101111010101011001010111000111100011101110110101101110111
sh601156,011001111010001110101110101010100000111100111001100100011101
sh603072,012102110101001010010111101011101001100101100111101000111001
sh600579,010001111110111110101111101000111010110101101101001100011011
sh688323,000001101000101010101110101001001000100101110100000000011110
sh603668,110101100101001101111011111001010100010101100001101110111011
sh600557,010000111110100100001011101000101001010111110111100000010001
sh603707,010000001000011110000010101001101001000101100100101000011001
sh600390,001101110100111100100010101010010100110101110101101100011101
sh688100,111001101010101000100000101000011000001100110101001011011101
sh605123,010101101000101100101111101000011000111111111011001110011111
sh603778,010100111100101100001111100001011000110101101100001000001011
sh603002,000100111000220100101110101010111000110101110101101111111001
sh600287,010000111110001101101000110001111100010111011101011100110111
sh601002,000000112100011110101110101000110010101101001100001000011101
sh688036,001111100001100001101010100000100000101101110110101010011101
sh603151,100010011110111111010111100111100010111110100001111000101001
sh601011,010101101100011110000110101010010100100101101111001010011101
sh605050,001100111011111111001111101110111100101110001001000001011001
sh688183,001001111000011010100120100010101000101111121110110020001001
sh688618,011101101000111010101110101000101000100101110110101010011111
sh600353,120100101100101010111110101010110011111100000111110000011101
sh688131,011001101000101011010001100010001101000121100010101010011101
sh600530,011101111110101001100110120211021001120002000111200000010001
sh601702,100000010100110110110110001000100100000100001001001100001111
sh688525,100000101000001010101110001000101000101001111101001110011101
sh605167,110100111100101010101010100010111111202100001101111000011101
sh603256,011100111010111010111010100010111001111111200100001111101111
sh603986,001100101000101010111110000000111000100001111000101011011101
sh603757,101001111110101110111111100011111000101101001000001000111101
sh688080,101001111000111110111110101000101001001101101000100010011101
sh688655,000000100000001010111101111111001001011101111101000010011011
sh600846,011100101101100100111110010000010010111101101111111000011101
sh603505,011001101001101110101110000110100100010001101101100000001101
sh600740,010101101100101101001011001010010100111100100101010100011101
sh603277,100000111000101001111111101100101100111001010111001110001101
sh600126,200101210100101010010110101010101000100101110100001001011111
sh601218,010100111110111111100111010000110000111101011101001100011001
sh603280,011000111110101110101110001010110000111000011000101010011001
sh603716,111001111010111010102111100100101101111111001010101100021111
sh688669,011000111100111010011110011110101101100002110001001000011001
sh601388,010200110100111100001011101010010100000101101001000000011101
sh688755,001011000101000101001010011101
sh600869,000000100100111111100110101000110000100201100100001010011100
sh603338,111000101000101011100110111000101100111100111101001000111101
sh605289,010100111100011110101110101101102001010001011101101110011011
sh600096,000001100100101111110101010011110100000010110000110100001001
sh688629,101101201110001011100110001000110000100101111000001011011111
sh600403,101001111100001000101111100012011200100101101001011010011101
sh601279,001100111120011110101110101100101000110100011101000000111111
sh600760,010101111000111000101111101000101111100111010101110100001101
sh603129,111000101010111010101110001010111001001100110111010110100011
sh601020,000000110100001010110011101110001001101101101111001010011101
sh600816,001101100100011100101010001010010000100111110101001100011201
sh688300,111001111010101110110110101010010100101101111001001110011001
sh600927,011101110100111100000010101010010000110101110100101000011101
sh600490,000001110110011010001000011101001101100101101101100000011101
sh600894,100001100010111100100001101000101100010110101001100100011101
sh688636,011101111100001110111111101000000100100111111001011100011111
sh688084,010001111001001110011110201000101010010111111100010011011111
sh600599,001110011111001110010000101011011110101100101100001000111101
sh600773,001101111000111100001010101010011001010101101101101010201111
sh688293,011001111100101100001010010101110001111111000100101000111101
sh603051,010000111010101110011110110010101100100100110100101000111010
sh601869,111100111000011011110010100010100000100101110000101011110111
sh603116,011100111110221100101111100010100000111101101101001100011101
sh600787,011101111100101100100010001010001000110110000101001100111101
sh688291,111001101010101011101111101000110000100101011000121111000001
sh600496,011100100000110100010010100010011000001100101001000100111101
sh688519,101000101100201000111101010000111010000010110110100010111111
sh600128,110101111120101100101010101110011000110101110101101000011111
sh601311,000000101000111011101110101000111000100101100101001100111101
sh603310,011100111011110100001111101010111000011101011100101010011001
sh603100,010101111010111001000111000001101000010100110100001100011101
sh600725,010101111100110100101111100010111000010100111100001000011101
sh600183,010000101000111010110110101011100110101100110001101010010101
sh600753,001100011100011010100021101100011100101011101001101010001001
sh688260,010001111010101010001110101000111000100101011100001110011001
sh688582,101000111000001010010010001000011000011101110101000010011101
sh600212,110001200100111010100011101000011000100210010110000010112011
sh688670,011100111100111111010110101001111000010101100100100000011001
sh688265,110001111010101010001110100000101000010110100110111100010121
sh601600,010000111000111000100010101010001100001101001111001100111011
sh688286,101000111000101010011110100010111000100101010001001110011101
sh605228,010000111100011011001111001000101100110100100101101000011100
sh603257,2000110001000000011121010110100110101101101110000021001
sh600851,020101111100101101011111101010111001010111001110101000011101
sh603882,101101101000101010011110100110000000100101111100100100011101
sh600665,010101111100110101101110111101011000110101101101101100011101
sh603061,110000102111101010001010000000010001000101100001110111010101
sh600378,011001101000100101111010011010000100100101011101010001101011
sh688689,111000111000101110101110001000001000100101111101101110011101
sh688085,011000101010101111000110111101101001101101000100001000011001
sh603967,011201110101101100001010000120010000111101001110101000111101
sh600336,011100112000101100101110100000111000110101110100001100011001
sh600566,110001110000101101011011100101111100001111001111001000011111
sh600121,110101101100101100100010100111110100100101101101011000011011
sh688190,101000111000011110001110101000001000000100110101011000111011
sh600651,011000101100111100001110101001111000100102001100001110011110
sh600366,001101101000101010101010011010101000100101110111101100011101
sh603798,010100110100101111001111101000111101111010111000000000011011
sh600312,001111100100111011001010101010111000000001001001001010001101
sh600123,010101101100100000000010000010010100001101100101001100111001
sh600137,011100110110101100001111110011110000001001100101001000011011
sh688502,011100211100100100100010000010011000100101110101101011111101
sh603379,101011100110010111101011010011001101001101101001011000001101
sh603115,111000111110101110101110101011111100100101001101100000011001
sh603109,111100111100101010010110101100111100011000010000101110001011
sh688700,000001101010000010011110100010011011000110112101001010011101
sh603811,011100111010101101001100100001101001010101101110100000111001
sh603075,100000111110101110001101011001101000010000010101101001011101
sh688203,010101100010101101001011100000111001010101101101222002010011
sh688025,001000101010101010101110101000111000100101012111111010011111
sh688449,111001101000101010101110101000011000100101111101001110010101
sh603029,010101010100001200101111101010111000110001111010001000111101
sh600581,010101110100101010110011110010010000110100101101001100011101
sh603978,000101100100011100111110101001101000100001001101101000011111
sh600193,000110211101010000000110000000010101111010000111001001011101
sh603285,010100111111101110110011100011101001001101101100100000011001
sh688035,110100111010101101100110100010111010000111111101001011111101
sh603210,100000001100101110111000101100000101100101101100111000
sh600584,001000101000111010101110101010100000100101110100001010011101
sh603271,110100111111120110101111101000001001100101110101101010011101
sh601061,010100111101011100001010001010000101001001101001110000001101
sh603298,011000111010111011100010111000101110010110100111100010101001
sh688110,100001111011101000011010111000101011100100111100001010111101
sh600638,010100110100111101001010100010010000110111100101101100011101
sh603648,011100200110110100200010101011001000110101001111011000011101
sh603535,100100201101101100000010111010001000111001100001100010110111
sh603992,001000111000111100101010101001000100111001111001000110001001
sh603937,011100110110101110101010100111111000111101101010001010011001
sh603235,010101110110011111000011100011101001111111101001111000111101
sh603878,010100100100111100101011100000011000110100100101000000111101
sh605208,101100111010001011101111101111100111000101110001001010011001
sh688329,011101110010111000001110101000111000010101100101100000011101
sh688610,011101111110101110001110100001101000100101111101001100011001
sh688167,110101101100101000111110100100101001111101111100001010110001
sh600815,010101111100010110101111101000111010111101001101001000011101
sh603630,112101110111001001101100010112021110110001100111201100000011
sh688082,111100101001001100101010001010010000110101011001011110111101
sh688098,010101101010101000001111111011111000010111101100100010011101
sh603991,010000101100102001100010101010110101100100111001011011001001
sh600219,010000110100011000010110011010010100101011101001011110101011
sh600400,000100110110100000101110100010110000110101100101001100111101
sh600329,010101111010101100001010100010111001011111001110000000011101
sh600006,011001101100101110101111101010111010001100000101101100011101
sh688202,011101111100101110001110101000111001010211100110101000011101
sh688691,100101101000101110101100001010010000100101010100001110011111
sh603045,011100111010111110001010111000001010000101112010001000011001
sh603836,010201101111001100101010101020000000110101110101001100111001
sh603709,111111000000001110011111101001011000110101101001101000111001
sh603344,001000111010101110001110110100101101010001111001001110011101
sh600592,011100211100101010011211100010100001011001010001001000011001
sh605066,011000101110111110101110100000101000101100111100101100011001
sh688721,011001101000101010000010101000010000010101010100101110111101
sh600854,011100111110111101101011110011011000110101111100101000011100
sh603912,100100101010111110001010100100110000110101110100101000011101
sh688523,011001101000101100101111101000010000101101110000000110011111
sh688583,101000101110111010110120001000101000100101100101101010011101
sh688503,001001111000011100000110101100101001000101011100101001011001
sh605056,111000111010111111001111101000101010001101010101111100011101
sh600288,110100101010111110101111101000111000100101111101101110111111
sh600609,001000110100011000101111001010101000110100010101101000011101
sh600671,010010011101111101100011011010110000100111101000000000011011
sh600679,100101111100101112000010101001011100111001100101101000011101
sh601137,001000101000110010101110101000111000101100111001101010111101
sh603860,011101111110111110001110101000011000100101111100101000111001
sh688701,110101110110111111001110000001111000100101001001000100011001
sh600268,011100101110111011011110100000111110101000010001101110011101
sh600439,001100111120001100001111101010001010101001100111001000011110
sh603612,011000111100111100111110001000101100000101111111111100011101
sh600099,011000111110111111001110100001111010110100101101101000111001
sh603936,010100111000111010011110101000111000100101111100101110111011
sh603108,111100101100101000011110101100101101010101110101101000011111
sh600626,011100111100110100100010101011011000110101101101001000011101
sh603118,001000111000111010101110101000111000101101110000101110011111
sh605259,001000111100111110101010100001111011011110101101001000011101
sh688779,011001101010111010001110101000111100100101101101110100111100
sh603507,011000111110101010111111100000111000000101010101001100011001
sh603160,110101101000111100111110110000101000100101110100001110011101
sh688368,111000112001111000011010001000111010001100010101101011011101
sh605580,000000111110111011100010011010101100110001110101000012011111
sh603678,111100111100001101111001001000000110100110010001110010111101
sh603101,111101111000111100001011100001111000101111111001000100011101
sh600668,010101100011011101101011200110111100001101100101001000011111
sh688114,011010101001111100011110100100000101000001010001010000011101
sh601886,001100110110111111000010010010010100010110011001000000111101
sh601699,011101100100100001001011001110000110000100101101010100011001
sh600546,011101000100100001010011001010001100001111000100011100011101
sh688369,110000101010101000101110101010101010100100011100001010001101
sh688676,011000101000111010101110101010001000100101111101001000011101
sh600841,100100101100001110001110101010111001111100010100101110111111
sh600538,010001111100101011010111100001100001010111001101000000111001
sh688539,011001111000101010000111101000011000001110111100001100011111
sh600936,001101111101100000101110110010110100011100010101001000011101
sh600135,001100101110100110001011101101011000110101101100001100111111
sh688617,011101010010101101000001010101001100010000011011010100110111
sh688002,101010111000001011101101101010101010110011110100011011001101
sh603023,011010111110011010010011011001000010001111101000001000111101
sh600847,010100101110101010001111100001111000100101101101001000011101
sh688261,011001111000101100011010101000111010100101110101001110011101
sh688399,011001111110001100000101101110011000001101111100000100110111
sh603515,010001111010111100101111110101111000110001010000001110101001
sh688603,110101201111100000000010100000011000000111101001100011010001
sh603717,011101110100011000101011101001011000110111101101001000011101
sh603639,010101110110100101101110110100111000010001011100101100011001
sh600303,001110011000001111001010101000110100010101101101010000010001
sh688680,011101111100101010001110211100110100100000011101001110011101
sh688378,011000100000111100001110100000111001001101100101001100111011
sh688599,000001101000001000000110101010110000100101101101001110011101
sh688392,100000101100101110110100101010010101000101110100002011010111
sh600550,110100101100001000100110101010111000110001000100101100011101
sh603112,100010111011111010101010101011101001001101110101101110011111
sh600148,011100111100111110001111101001111020010001000111001100011101
sh603052,010000111100111010100111111010100000001101010101101010011111
sh688138,110000101101101100011111000000101000100101110001101011011001
sh688251,001001111110111010101111111001111001101101000101101010011001
sh603456,010100101110111111011010100010101101010111000110100000011001
sh603329,111101210202101110100010100110011100101101000100101000011101
sh600497,000001101100011110000010101010011100101101101001000100011111
sh600971,011101000100000000000010001010010100001101101101001100011101
sh688720,110100111010101100101111000010110101101100010100001110111001
sh688512,010001111000101001101110101000100010101101111101001110111101
sh605389,011100111100011010111100101100101110011001111001010111101111
sh600255,001101111100011010101110101010111000100101110001101000011011
sh600735,111100111110001100001210111111110110011001111101000110011101
sh603351,000000010010111101010010000110100101011101100100100010011101
sh688331,111110210110001101110100001110102011010111001110200010111101
sh603556,111001010110101010001010111000111000011100110101000010011101
sh600888,010101111011111000100011100010010100101100101001001100111101
sh688157,010001111000101010100011000000001001001101011100001100011001
sh605258,110000101100101110101110101000111010100100111001101010011011
sh601567,001000010110001001010001100100100010000101110111010010101101
sh601138,111000211010111110101010101010101010001100110001111010000101
sh600983,011000111110101110001010100000110000101000111001011100011101
sh688500,111101201000111011101110100101111000100111001011011011110011
sh603813,100101211110000000100200010000011011010011110110101000010001
sh603815,011101111000102101001111110110110000000100001101001000011001
sh600066,001000111101011110010111010100001111001101011001110010110101
sh603916,011100101110101111101110011111010000110111011100001000011011
sh688102,010011110100101010010010100001001001101111210100001010011001
sh603183,010101111100111100101110100001011000110101001000001000011001
sh688662,101101111010101010011110100000111000100101110101101010001101
sh600782,011100010100101010110000000100010000000110001001000000111101
sh600509,110101111110101011111100111000001000110100000101001100111101
sh600853,010101111101110100110000100111001000100101101101001000111101
sh600989,011001010001011110111000011111111101010101011000110011000001
sh688416,100001111100101110001110101000011000111101101100001110111101
sh603903,010101110110111100001111110011111001111101101001101000011011
sh600493,011100111110111100101010100002000101000001101100001000110111
sh600523,010000100100111100001111101010100011110101000100010110111111
sh688181,010101111000112010111111110000111000110100110101001011011101
sh600981,100100111120101100100011100010011000110101101101101100011101
sh600419,011101110110000101001000100001111000111001100100100100111001
sh688668,101101101100101100111110100000011000111100111110101011000001
sh688019,100010112000111000001110100010100001000101011101010011111101
sh603225,111000010100111111010001101010000100000000111000000010111101
sh688163,010101111110101101001110100001111001010101001000000010010001
sh688630,010001111110011111010010001010111000010111110000000011011001
sh600979,110101110110101001100110100110111100100101100010011000111001
sh688371,011101101010111110001110100000001000111101100001001010011101
sh603843,000110111111010100000000200000011111110011110111000101011101
sh603808,010100111110100100101011100101111100011101101101101000011001
sh688693,010101112000100100001110101000101100100101111101101110011101
sh600326,000101111110010111000011101010110100110111101100101101111100
sh603828,101000111000110011100000111010000011010000111010111100010001
sh688175,011001111010111010111111101000101100100101100001111110111111
sh688484,001001101001110000001010100000110010110100110101001111110111
sh600259,011101110111001010111110101011112001001001210001012000011101
sh603178,001100101000101210000110101000200111110101100101101000011001
sh688092,111000101100101110101111101000111000110101111101001010011001
sh603922,111000100011010020101100000010110000201110001001101100111101
sh688565,110101110010100011110110100001111000111101001100000000111111
sh600257,110101120100100001010111100011011000111111100101001000111001
sh600997,110101101101001101101100100110100100001100100101001000011101
sh600545,000101111100101000101110101000110000110101000101001000011001
sh600117,010101110100101000101011101010010000110100101101001100011101
sh603226,102010100021200010010110111110100011110100011010102000012011
sh688408,010001101000001010000110101110000000000101110101001010011101
sh600089,001101100001000100000110101110110100000101100101101100011101
sh603755,010101111101101001001111100000011001110011100001001010011001
sh688239,000100111000101000001011101000101101100110110101100110011101
sh688520,011101111100111101011000100010101100010101011110110010022011
sh603058,010100111010101100001111100010111000110101101101001000111001
sh603122,010100111110101000001111100000101000110101101100100000011001
sh600758,010100101100101100100011100001010100110101101101001100011001
sh605168,001100111100101010111110101010111000100101110101101000011100
sh688401,111000211111101101010010101000011001100111010001000110111111
sh601880,011101100001001000000011000010010000000100001000000000010101
sh688627,111000111101101011011110100000110011110001111000001011111111
sh603005,100100101000011010101110101000111000100101111101001011011101
sh688013,111001100011101011001111100001111000110111111010101010010011
sh600392,010001110100001110111010101011001000100101110001001000011101
sh603056,001101111000111000101011101010011110110100000100101000011001
sh601515,101101111110111200101100110010101100001101100101000000011111
sh600455,011000111111110100001111110000001001110111011001100100011111
sh600405,001001101100101000001110101000111010100100110101000100111111
sh688699,011001112001101100011010100000111010111101111101001110011101
sh600246,110001111100101010001111110010111010100101100111011100010101
sh688507,001100211000101010011110101100111000100101110101001001011101
sh600715,000010010001011010000110001000011000111001101100001000011001
sh605177,110000110110101110001111001001111000010101101110001000011001
sh603477,011112110110001001101010100011011000110111101101000000001101
sh688045,111000102011101010001000101000111000111101011100001010011111
sh600283,110101101010010100110110111100011000010101100101000000111000
sh605117,011000111101111111001010111000100000000100110101000000111101
sh600119,011101111100001100101010101020010100110111011001101000111101
sh600619,110000111100101111100111100000111000110101110101001110011101
sh603569,010211111001101100101010000020001000111101001101001100111101
sh600620,000100110110101100000111101011010000110101101101001100011001
sh601877,010100111100111111101000110100000010000101101101110010111001
sh600380,010100100100111101011010110100101100010111101110100000011001
sh603339,011000110010101110101010100010011000111101001000101000011101
sh601216,011101111100111000101010000010101000000101110000101000011111
sh600076,010101111100111101101111101010011000110101101101001000011111
sh688616,010001101000011010001010100000111000110101111110000010011001
sh605081,021100000011001011111111110010011110100010101001001000011001
sh688376,110001101001100110001110101000010000011100100101001000111001
sh600793,011102111100111012101111100110111120100001100101001000011001
sh603391,011101110101011010100101100101101011110111111111101110111101
sh688210,111000111000111110110110101110100000000101111100101110011100
sh688515,110100111110111010011010000100101000101101011001000111010101
sh603989,110000101000111110101110101100101000100101110100001010011101
sh600327,010101110100111100001011100000111000111101100101101000011111
sh603194,101000111011011010001110101000001000101210100100111110111001
sh688113,110000101010101000010110101010111001110101111000000110011100
sh688270,111001211011101100001110101000010000111101010100011001011101
sh603097,110001101010101010101110001100001000111110111101101100111001
sh600051,010100101110101111000010100010111000110101111101001000111001
sh600302,110000111110111010001110110001011000110101111100110011011011
sh600551,010101110001010100011000100000011110001200020100001000010111
sh601615,001101100100111111110011001010100100000111101101001110011101
sh603031,111100101010011110101100101000111100001100111110100011111101
sh600935,010101111111101010001010100110110000010101111101101110010001
sh688391,011001111000101000001110101000111100011101111100101110011001
sh600495,000101111100111110001011101000110120012011000110001000011101
sh603187,011000110110111110101001100001101000111101110100001100111101
sh600862,010001101100101000101111101010010010000110010101010110011101
sh688530,010001111000101100001110101000101000100101110101101011011001
sh688325,101001101000101101001110001000111000100101111101101010011101
sh605589,101000101010101010101110010010111100001110110100001010011001
sh603270,001001111000001010101110101000100011100101110001001000011101
sh688287,111000111100001000000111111001010000110111010101111000111111
sh603788,101000111100111011001110101000101000000101111101101110011100
sh603551,111001111100100110101110111000111000011101101101101100111001
sh600059,011101110101101101101001100000111101110000100100001100111111
sh688600,110101211011101101110011100010101002001001011110001000011001
sh603955,001000111120011101010111201011011102010101100000100000000001
sh688231,011001111010101110011011101000111000100111011001101010011111
sh688548,110100101000101100100110001011000100010100010001001101110001
sh603091,111100111010111110101001100010011002010011101111111010001011
sh603120,0100100001011101011100101110100101110001000211001
sh688156,010102010110001200001011101000100000111101001111111010111100
sh600227,010101000100101200001111101010011100010111111101111211010001
sh601225,011101100111100101000000110011110101101110000101010100111001
sh688508,110101101011101000011110001000101010100101110100101110011101
sh603272,011000110000111010101110000001111000000111100000001000011001
sh603408,111000110010110111001011101000101000001100101111000100011101
sh605080,001000101000101010110111101100100111101001100101100000011001
sh603079,010102120110001011011011010001111001110101100100100111111001
sh688177,011001111010001101011110100001111010010100101110100010010001
sh600210,101000101110111111101010101010001110101100100110001010011100
sh600463,110100111000111100001111110001111000000101101111001000011001
sh601588,000101111100110101100111100010011000010101101101001010001101
sh603186,101000101100111110110110000100101000100100111001101011011011
sh603203,101000101010111110101110101000101000101100111001001010110111
sh600768,010100111110111010111110100001100000010101101001001000011011
sh688147,000001101000101100101110001010110001000101110100010010111101
sh603236,100000100010111010111110001010111010101101111001101111011101
sh600201,010101111000101101101010101011111000110101000111100100011101
sh603282,011100111110100110001111111001111000110101001111100100111001
sh605011,110101110111101001100110111001001100110101100111001000011111
sh600933,001000111000111011101110100000101000000100110001101110011101
sh688687,011001111100101100000110100001111100011101000100101000011101
sh603004,011000101010101111101011001000101002011101101110001000011001
sh603081,001001111000110010011010101000100000110101110101101000011101
